graph,feature_mode,n_nodes,n_edges,density,spectral_gap,energy_ratio
SBM(q=0.01),smooth,200,1608,0.08080402010050251,0.06471670376829139,3.4857525948490737
SBM(q=0.01),multiscale,200,1608,0.08080402010050251,0.06471670376829139,8.008926699408658
SBM(q=0.01),community,200,1608,0.08080402010050251,0.06471670376829139,46.842649770969295
SBM(q=0.05),smooth,200,2217,0.1114070351758794,0.2818713032203528,17.286349104898672
SBM(q=0.05),multiscale,200,2217,0.1114070351758794,0.2818713032203528,38.27876809602259
SBM(q=0.05),community,200,2217,0.1114070351758794,0.2818713032203528,71.97965319167015
SBM(q=0.1),smooth,200,3037,0.15261306532663316,0.44298017627195885,18.142106738549057
SBM(q=0.1),multiscale,200,3037,0.15261306532663316,0.44298017627195885,39.60546749825455
SBM(q=0.1),community,200,3037,0.15261306532663316,0.44298017627195885,8.420667146759879
BA(m=2),smooth,200,396,0.019899497487437186,0.10133283818650977,15.187680070409975
BA(m=2),multiscale,200,396,0.019899497487437186,0.10133283818650977,4.544947719613946
BA(m=2),community,200,396,0.019899497487437186,0.10133283818650977,26.22238177032707
BA(m=5),smooth,200,975,0.048994974874371856,0.2755916527042502,16.177131766546328
BA(m=5),multiscale,200,975,0.048994974874371856,0.2755916527042502,15.254876409223696
BA(m=5),community,200,975,0.048994974874371856,0.2755916527042502,16.522870527003803
