Reference,Generated,Spectral JSD,QBE Distance,HKS Distance,Spectral Aggregate,Degree MMD,Clustering MMD,Triangle MMD,Standard Aggregate
SBM(q=0.01),ER (matched density),0.012000899664333011,0.18885864607992306,0.01665650117605765,0.07250534897343791,0.011184964635929162,0.05707654208112345,0.32211151833358614,0.13012434168354625
SBM(q=0.01),Config (matched degree),0.012865021329709311,0.18526241628842469,0.01624567410463088,0.0714577039075883,0.005827384825427273,0.05611465871604682,0.3192323872471373,0.1270581435962038
SBM(q=0.01),SBM (approx params),0.047687215991926483,0.18516790375816342,0.021406140876302857,0.08475375354213092,0.24151351852510816,0.0242998724679655,0.15440339646785908,0.14007226248697757
SBM(q=0.1),ER (matched density),0.0012688346632604287,0.1228257043882916,0.00058880680227128,0.04156111528460777,0.010251864160665758,9.333889785057004e-05,0.008575379768579666,0.006306860942365332
SBM(q=0.1),Config (matched degree),0.0017466355847245755,0.1527413992167604,0.0015881151127543447,0.05202538330474643,0.023754441720557018,0.0012601115289014864,0.05294403150682374,0.02598619491876075
SBM(q=0.1),SBM (approx params),0.21740383557900786,0.13856428092938958,0.009589942631874553,0.12185268638009067,0.2774618992583135,0.48849137782673635,0.10241093549002014,0.2894547375250233
BA(m=3),ER (matched density),0.0015594363458181276,0.2509323088643011,0.041519666840597914,0.09800380401690573,0.11697017620005573,0.007361745094307093,0.02335484423677947,0.0492289218437141
BA(m=3),Config (matched degree),0.0012713656425817515,0.25969398204382016,0.01737338552312384,0.09277957773650858,0.0011642266861567885,0.0009311515745764609,0.010115520108076481,0.00407029945626991
BA(m=3),SBM (approx params),0.01791445970887455,0.24444350610336882,0.03824676350987144,0.10020157644070493,0.3747443197551435,0.0032758523635458836,0.46978346742149946,0.282601213180063
BA(m=8),ER (matched density),0.0004762347511395228,0.19317973035957484,0.003465458339667145,0.06570714115012717,0.11686981132941734,0.01713562334388552,0.044389213221197044,0.05946488263149997
BA(m=8),Config (matched degree),0.0012963529944372953,0.19926387992288946,0.005209914015227197,0.06859004897751798,0.003933684496122358,0.002790951560479815,0.0286322138338157,0.011785616630139292
BA(m=8),SBM (approx params),0.071565815057421,0.19940776718804015,0.013690270840040718,0.09488795102850062,0.24413949829782347,0.06321510428898902,0.22999124826095615,0.17911528361592288
